,symbol,gics_sector,2019
0,XRX,Information Technology,40.1391
1,AMD,Information Technology,29.6336
2,XLNX,Information Technology,28.8889
3,LRCX,Information Technology,22.6175
4,KEYS,Information Technology,20.5145
5,DXC,Information Technology,17.673
6,WDC,Information Technology,17.5902
7,KLAC,Information Technology,17.2258
8,AMAT,Information Technology,16.7264
9,MU,Information Technology,16.7023
