,symbol,gics_sector,2019
0,CELG,Health Care,32.7431
1,INCY,Health Care,26.7936
2,WAT,Health Care,26.0673
3,ALXN,Health Care,25.4054
4,NKTR,Health Care,23.7288
5,ALGN,Health Care,23.1694
6,ANTM,Health Care,18.8142
7,WCG,Health Care,18.6304
8,PKI,Health Care,17.6547
9,VAR,Health Care,17.1829
