,symbol,gics_sector,2019
0,APTV,Consumer Discretionary,29.4031
1,WHR,Consumer Discretionary,23.2487
2,RCL,Consumer Discretionary,22.7631
3,NCLH,Consumer Discretionary,21.3544
4,MAT,Consumer Discretionary,21.3115
5,CMG,Consumer Discretionary,19.4537
6,LEN,Consumer Discretionary,18.6687
7,HBI,Consumer Discretionary,18.311
8,VFC,Consumer Discretionary,17.9678
9,WYNN,Consumer Discretionary,17.8257
